model,roi,quantile,R0,ar,car,ifr,ir,loo,lp__rhat,waic
SICRdiscrete1Nwk,Afghanistan,0.025,0.5215308153361267,0.00538105444465475,0.13078813819101515,0.005144706611923256,0.005352253624028231,192155.02460158587,,-1141474.5119104004
SICRdiscrete1Nwk,Afghanistan,0.25,1.1420586454893065,0.005961230982307477,0.14865465996446955,0.006109370890233609,0.005925905247860866,235266.00035656797,,1648615.4427916904
SICRdiscrete1Nwk,Afghanistan,0.5,1.5316871962918759,0.006327511487624223,0.16459611851821793,0.006719917604633805,0.006287725788283044,257886.37693885458,,3112578.7228740873
SICRdiscrete1Nwk,Afghanistan,0.75,1.9571301570534951,0.0067243354916606615,0.1761584258028724,0.007221702930283472,0.006679420779919995,280506.7535211412,,4576542.002956484
SICRdiscrete1Nwk,Afghanistan,0.975,2.852654112438509,0.007605723587070272,0.21198131608463994,0.00822508725115199,0.007548313155922505,323617.7292761233,,7366631.957658574
SICRdiscrete1Nwk,Afghanistan,max,4.578220960448504,0.009980665735401534,0.25107047123015597,0.009980973550931239,0.009882036423443263,,,
SICRdiscrete1Nwk,Afghanistan,mean,1.5727112110692838,0.0063684026490575165,0.16494644805637476,0.006727700732694182,0.006327783151219665,257886.37693885458,69.06274572572204,3112578.7228740873
SICRdiscrete1Nwk,Afghanistan,min,0.11687658092150882,0.004587578303099311,0.10183708568599079,0.003995840891905544,0.00456662847218664,,,
SICRdiscrete1Nwk,Afghanistan,std,0.6000943762002614,0.0005709281587973859,0.015017051792054044,0.0007044413970417254,0.0005635012877370561,33537.0205043303,0.0,2170475.2068608995
SICRdiscrete2Nwk,Afghanistan,0.025,0.3527353636102132,0.005431101043338535,0.1314906659784164,0.006202208212900132,0.005401763458207029,194023.4272226066,,-112610.89300081832
SICRdiscrete2Nwk,Afghanistan,0.25,0.8855523400249933,0.006005204062750007,0.15192833586199128,0.007002763275806487,0.005969356808433968,237160.53031278227,,1117544.338114311
SICRdiscrete2Nwk,Afghanistan,0.5,1.1761141295530444,0.0063434036338328925,0.1663549666869762,0.007441161459818093,0.0063034184537953675,259794.61593669505,,1763008.1462323233
SICRdiscrete2Nwk,Afghanistan,0.75,1.4882908700849122,0.006718305396175921,0.1794322331398931,0.007887754438665875,0.006673470924640032,282428.7015606078,,2408471.9543503355
SICRdiscrete2Nwk,Afghanistan,0.975,2.2070624585921874,0.007554886628177148,0.2059536163871571,0.008749394257689332,0.007498238256212757,325565.8046507834,,3638627.1854654644
SICRdiscrete2Nwk,Afghanistan,max,4.1537651746768445,0.009237511584858759,0.24133004328611132,0.01018637410481832,0.00915296093268314,,,
SICRdiscrete2Nwk,Afghanistan,mean,1.2025447721782752,0.006383387311734972,0.16645819005255336,0.007453895909520393,0.006342610820486359,259794.61593669505,62.813710778312384,1763008.1462323233
SICRdiscrete2Nwk,Afghanistan,min,0.005524632708864248,0.004700146359471648,0.10880320695781187,0.004876981961739751,0.004678157813002015,,,
SICRdiscrete2Nwk,Afghanistan,std,0.4662941647087767,0.0005345747449501557,0.013307238383895297,0.0006535077072264131,0.0005268366989084944,33557.34555985883,0.0,956966.0738808392
SICRdiscrete3Nwk,Afghanistan,0.025,0.3168408787424626,0.00521819899369935,0.12907014785209014,0.005772465410482368,0.0051911106778416965,177465.4032450774,,229317.72236869304
SICRdiscrete3Nwk,Afghanistan,0.25,0.8786274890586016,0.005783940031481446,0.14816476810791102,0.006467097844605072,0.005750678410664914,235268.5403800195,,304633.40838363254
SICRdiscrete3Nwk,Afghanistan,0.5,1.1807388386212954,0.006111697157388726,0.16185203003853335,0.006846060939872499,0.006074571168677184,265597.91026162886,,344151.6320001394
SICRdiscrete3Nwk,Afghanistan,0.75,1.5044339057887792,0.006470189402234474,0.18129729836276104,0.007237118448633125,0.006428595120904421,295927.2801432382,,383669.85561664624
SICRdiscrete3Nwk,Afghanistan,0.975,2.224474936330436,0.007247467781861755,0.20485955488474858,0.008025487825709462,0.007195319890160383,353730.41727818025,,458985.5416315857
SICRdiscrete3Nwk,Afghanistan,max,3.8242944387909925,0.008785472728058769,0.2327948899315887,0.009929523273405145,0.008708960339245564,,,
SICRdiscrete3Nwk,Afghanistan,mean,1.2064901873674676,0.006145447323381181,0.16221515056452318,0.006858695810713264,0.0061076481907851084,265597.91026162886,24.15146353384626,344151.6320001394
SICRdiscrete3Nwk,Afghanistan,min,0.02069671720604636,0.004400143482038676,0.10661403786575462,0.004693337702063917,0.004380866971694042,,,
SICRdiscrete3Nwk,Afghanistan,std,0.4804568640202475,0.0005159676873703704,0.013031545207493044,0.0006390711279215928,0.0005089189049046993,44966.39107235102,0.0,58589.80600523354
SICRdiscreteNwk,Afghanistan,0.025,2.425019329247548,0.003665352615776937,0.12070715018922029,0.005023474919948768,0.003651965863695499,192496.6672127167,,515501.4088171751
SICRdiscreteNwk,Afghanistan,0.25,2.8475290516397966,0.004555120701823505,0.1501204091878862,0.006436651279441856,0.0045344639400276745,236444.4082740857,,954468.7895203867
SICRdiscreteNwk,Afghanistan,0.5,3.115712296693996,0.005130652921235646,0.16880615056245662,0.007379795555422388,0.005104461504604769,259503.8365365996,,1184795.458888317
SICRdiscreteNwk,Afghanistan,0.75,3.4203681301083586,0.005810045382569084,0.18945352659254766,0.008374975855224316,0.0057764812432022005,282563.26479911356,,1415122.1282562471
SICRdiscreteNwk,Afghanistan,0.975,4.108791653196671,0.007442390308887686,0.23645794791473884,0.01040831935812367,0.007387407273540712,326511.0058604825,,1854089.5089594587
SICRdiscreteNwk,Afghanistan,max,5.48183542088177,0.009881512978545719,0.3170082741592436,0.014171289133616888,0.009784820608930397,,,
SICRdiscreteNwk,Afghanistan,mean,3.155684546753824,0.005238453882774638,0.17115096709877223,0.007471278761155612,0.005210234839330483,259503.8365365996,42.62038308427599,1184795.458888317
SICRdiscreteNwk,Afghanistan,min,1.9542236994069262,0.002798022712766135,0.0890651169726895,0.003786116139657665,0.002790214629893229,,,
SICRdiscreteNwk,Afghanistan,std,0.43388486749770505,0.0009662321017059719,0.032001112305603804,0.0013829400152769954,0.0009555789416941373,34187.959499473924,0.0,341482.83098589967
